experiment_id,chunk_size,chunk_overlap,question_type,count,hit_rate_at_1,hit_rate_at_3,mrr
chunk_256_0,256,0,contextual,6,1.0,1.0,1.0
chunk_256_0,256,0,discrimination,5,0.2,0.8,0.4619047619047619
chunk_256_0,256,0,multi-document,6,0.8333333333333334,1.0,0.8888888888888888
chunk_256_0,256,0,single-conceptual,5,0.4,0.6,0.5685714285714286
chunk_256_0,256,0,single-troubleshooting,14,0.7142857142857143,0.9285714285714286,0.8238095238095238
chunk_256_64,256,64,contextual,6,1.0,1.0,1.0
chunk_256_64,256,64,discrimination,5,0.2,0.8,0.4666666666666667
chunk_256_64,256,64,multi-document,6,0.6666666666666666,1.0,0.8333333333333334
chunk_256_64,256,64,single-conceptual,5,0.4,0.4,0.5085714285714286
chunk_256_64,256,64,single-troubleshooting,14,0.7857142857142857,0.9285714285714286,0.8571428571428571
chunk_512_0,512,0,contextual,6,1.0,1.0,1.0
chunk_512_0,512,0,discrimination,5,0.4,0.8,0.6
chunk_512_0,512,0,multi-document,6,0.8333333333333334,1.0,0.9166666666666666
chunk_512_0,512,0,single-conceptual,5,0.6,0.6,0.6785714285714286
chunk_512_0,512,0,single-troubleshooting,14,0.9285714285714286,0.9285714285714286,0.9464285714285714
chunk_512_64,512,64,contextual,6,1.0,1.0,1.0
chunk_512_64,512,64,discrimination,5,0.6,0.8,0.6666666666666667
chunk_512_64,512,64,multi-document,6,1.0,1.0,1.0
chunk_512_64,512,64,single-conceptual,5,0.4,0.6,0.5666666666666667
chunk_512_64,512,64,single-troubleshooting,14,0.7857142857142857,0.9285714285714286,0.8714285714285713
chunk_512_128,512,128,contextual,6,1.0,1.0,1.0
chunk_512_128,512,128,discrimination,5,0.6,0.8,0.7
chunk_512_128,512,128,multi-document,6,0.6666666666666666,1.0,0.8333333333333334
chunk_512_128,512,128,single-conceptual,5,0.4,0.6,0.5733333333333334
chunk_512_128,512,128,single-troubleshooting,14,0.7857142857142857,0.9285714285714286,0.8554421768707483
chunk_1024_128,1024,128,contextual,6,1.0,1.0,1.0
chunk_1024_128,1024,128,discrimination,5,0.6,0.8,0.7
chunk_1024_128,1024,128,multi-document,6,0.8333333333333334,1.0,0.9166666666666666
chunk_1024_128,1024,128,single-conceptual,5,0.6,0.8,0.725
chunk_1024_128,1024,128,single-troubleshooting,14,0.7142857142857143,0.9285714285714286,0.8316326530612245
